"Amount After Discount","Opportunity Name","Revenue Type","Close Date","Opportunity Owner"
"4800.00","ARB Web Apps / 84 Lumber - Angular","Sales NLR - General","9/7/2021","Alyssa Vanderslice"
"945.25","W527166 - com&on – Windows Forms Download – API","Sales NLR - General","9/15/2021","Alyssa Vanderslice"
"2120.75","W527177 - Almasons – ESEE Download – API","Sales NLR - General","9/15/2021","Alyssa Vanderslice"
"995.00","W527427 - Leidos Engineering – FILE FORMATS Download – API","Sales NLR - General","9/17/2021","Alyssa Vanderslice"
"2120.75","W527738 - Techninier - ESEE","Sales NLR - General","9/22/2021","Alyssa Vanderslice"
"22500.00","Planful - Global (split)","Sales NLR - General","9/27/2021","Alyssa Vanderslice"
"7000.00","WRSEC – ASP.NET Core","Sales NLR - General","9/29/2021","Alyssa Vanderslice"
"995.00","W528412- Royo Tech – Xamarin Download – API","Sales NLR - General","9/30/2021","Alyssa Vanderslice"
"995.00","W528646 - James Corrigan - Blazor","Sales NLR - General","10/8/2021","Alyssa Vanderslice"
"796.00","W529308 - Clicklaboratory – Essential JS","Sales NLR - General","10/13/2021","Alyssa Vanderslice"
"3980.00","Bill4Time, LLC – React Download – API","Sales NLR - General","10/19/2021","Alyssa Vanderslice"
"1990.00","Ignis Solutions Inc – Xamarin Download – API","Sales NLR - General","10/20/2021","Alyssa Vanderslice"
"995.00","W530372 - Adventure Pilot – Xamarin Download – API","Sales NLR - General","10/25/2021","Alyssa Vanderslice"
"995.00","W530418 - Avanade –  Xamarin","Sales NLR - General","10/26/2021","Alyssa Vanderslice"
"945.25","W530422 - Automha – Windows Forms Download – API","Sales NLR - General","10/26/2021","Alyssa Vanderslice"
"-1990.00","RETURN Ignis Solutions Inc – Xamarin Download – API","Sales NLR - General","10/26/2021","Alyssa Vanderslice"
"995.00","W530734 - Gilster-Mary Lee Corp – React Download – API","Sales NLR - General","10/29/2021","Alyssa Vanderslice"
"945.25","W530721 - crazyALEX.de GmbH – PHP Download – API","Sales NLR - General","10/29/2021","Alyssa Vanderslice"
"995.00","W530994 - wideum – Angular Download – API","Sales NLR - General","11/2/2021","Alyssa Vanderslice"
"2050.00","Etherfax –ESEE","Sales NLR - General","11/3/2021","Alyssa Vanderslice"
"2495.00","ALPHA MAINTENANCE – ESEE","Sales NLR - General","11/9/2021","Alyssa Vanderslice"
"3805.00","ROMA – Blazor Components Download – API","Sales NLR - General","11/9/2021","Alyssa Vanderslice"
"945.25","W531644 - KF Software Solutions – Blazor Components Download – API","Sales NLR - General","11/11/2021","Alyssa Vanderslice"
"995.00","W531798 - Intel - JavaScript","Sales NLR - General","11/15/2021","Alyssa Vanderslice"
"1224.00","Ingersoll-Rand International [India] Limited – Windows Forms Download – API","Sales NLR - General","11/18/2021","Alyssa Vanderslice"
"1890.50","Taskflow – ASP.NET Core (Essential JS 2) Download – API","Sales NLR - General","11/23/2021","Alyssa Vanderslice"
"1746.50","Mytec S.r.l. – ESEE","Sales NLR - General","11/24/2021","Alyssa Vanderslice"
"995.00","Honeywell via ComponentSource - JavaScript","Sales NLR - General","11/24/2021","Alyssa Vanderslice"
"696.50","W532715 - Computer Engineering, Inc. – WPF","Sales NLR - General","11/29/2021","Alyssa Vanderslice"
"696.50","W533199 - InformatiQ AS - BrainStation-23 – Blazor Components Download – API","Sales NLR - General","11/30/2021","Alyssa Vanderslice"
"8000.00","OSII-Open Systems International, Inc – Global (split)","Sales NLR - General","11/30/2021","Alyssa Vanderslice"
"696.50","W533401 - NANORAMIC – JavaScript (Essential JS 2) Download – API","Sales NLR - General","12/2/2021","Alyssa Vanderslice"
"4745.25","Texas Pipe & Supply via SHI - ESEE","Sales NLR - General","12/16/2021","Alyssa Vanderslice"
"8298.50","InformatiQ Global License","Sales NLR - General","12/22/2021","Alyssa Vanderslice"
"2495.00","agp sa – FILE FORMATS Download – API","Sales NLR - General","12/22/2021","Alyssa Vanderslice"
"995.00","W531875 - Wellbeats – Xamarin Download – API","Sales NLR - General","11/15/2021","Marydith Achieng Odeny"
"696.50","W532933 - Merligen Investments – Blazor Components Download – API","Sales NLR - General","11/28/2021","Marydith Achieng Odeny"
"1746.50","W532740 - Tiqal – FILE FORMATS Download – API","Sales NLR - General","11/30/2021","Marydith Achieng Odeny"
"945.25","W533959 KAZ Software – Xamarin","Sales NLR - General","12/10/2021","Marydith Achieng Odeny"
"1871.25","W534735 Nixon Peabody LLP –ESEE","Sales NLR - General","12/21/2021","Marydith Achieng Odeny"
"746.25","W535430 OpenArc – Xamarin","Sales NLR - General","12/30/2021","Marydith Achieng Odeny"
"17100.00","GLOBE GROUPE – Project License","Sales NLR - General","9/27/2021","Ross McMeekin"
"945.25","W526330 Tricycle Marketing – Angular","Sales NLR - General","9/7/2021","Thomas Philip"
"945.25","W526375 SlideLizard – FILE FORMATS","Sales NLR - General","9/7/2021","Thomas Philip"
"940.00","Agiliad Technologies- WPF","Sales NLR - General","9/9/2021","Thomas Philip"
"945.25","W527248 - TRANSFIRIENDO S.A – React Download – API","Sales NLR - General","9/16/2021","Thomas Philip"
"995.00","American Power & Gas – Blazor","Sales NLR - General","9/30/2021","Thomas Philip"
"945.25","W530041 - NBCOT – FILE FORMATS Download – API","Sales NLR - General","10/21/2021","Thomas Philip"
"995.00","W529813 Fortia Financial Solutions – Blazor Components","Sales NLR - General","10/21/2021","Thomas Philip"
"945.25","Mitsubishi Electric India  Via SoftwareOne -WPF","Sales NLR - General","10/28/2021","Thomas Philip"
